,name,pred_clean,pred_dirty,energy_demand,gdp_influx,gov_expenditure
0,Belgium,0.022020495996124,0.0,231645.62203619565,43.325,0.0002272711286639
1,Bulgaria,0.0485226732969044,0.4997233343076828,111453.44620271154,8.197,4.5743597596296726e-05
2,Denmark,0.042274498994212,0.1261930915461879,127296.04457855578,57.545,0.0005471750501795
3,Germany,0.0026416423392751,0.6309381759484121,167842.89750892838,44.68,2.7247225011207995e-05
4,Estonia,0.1814895255780801,0.0,66176.5916466584,20.17,0.0006801208411387
5,Ireland,0.0458578079684501,0.004230718635225,129331.32744108392,69.727,0.0004054169561013
6,Greece,0.0371819246024163,0.4038733399314298,111456.3050330546,19.214,0.0001072627099504
7,Spain,0.0081260377430852,0.0412919094252511,122477.497508383,28.175,3.1491911372138266e-05
8,France,0.004209096426073,0.0015968386140697,156903.81248221808,39.827,3.8075541562334525e-05
9,Croatia,0.0802774603998585,0.0231761702511443,85423.09111685063,13.2,0.0001767173730722
10,Italy,0.0054254790266471,0.0131344940937187,111998.0780600308,32.038,3.033821128723436e-05
11,Cyprus,0.3780893596018757,0.0,97068.09490797685,18.695,0.0007333786264068
12,Latvia,0.1296196907378329,0.0,99414.80480840291,15.613,0.0003518598810941
13,Lithuania,0.0913294813956639,0.0058347470085159,55409.07118972306,16.709,0.0002579369846478
14,Luxembourg,0.426420569641663,0.0,293054.3325803782,105.28,0.0079950019968752
15,Hungary,0.0316068990248746,0.4433295737562377,107889.19108632802,14.364,7.564319060456499e-05
16,Malta,1.0,0.0,291098.4683258482,28.585,0.0029731331376559
17,Netherlands,0.0143706018607025,0.0556535937000138,229831.46217841603,48.796,0.0001335570877914
18,Austria,0.0312054640762952,0.0067166014754632,166729.62642779056,47.261,0.0003038035399945
19,Poland,0.0064610275004982,1.0,114527.41398694852,13.871,1.7938623223093873e-05
20,Portugal,0.0389491972121521,0.0051513520959928,105634.0861546603,21.316,0.0001006000924415
21,Romania,0.015838379207621,0.0636103334826139,73366.40182026003,10.781,2.1749523370554192e-05
22,Slovenia,0.1462152559256924,0.2603821037692421,136566.30404562328,23.488,0.0006014191938383
23,Slovakia,0.0520453393649065,0.0383817056253134,133054.31326815934,17.551,0.0001592970203907
24,Finland,0.0,0.0,221605.0285883423,45.778,0.0004686430131824
