,output_price
0,260721.47286179342
1,1.0000086615680477
2,1.0000088606470634
3,1.000009068130989
4,1.0000090482975519
5,1.0000094969136692
6,1.0000094366223617
7,1.000009648269375
8,1.0000023006561103
9,1.0000022764549683
10,1.0000023023116127
11,1.000001846377391
12,1.0000018536373843
13,1.0000018132046957
14,1.000001857965676
15,1.0000018704104945
16,1.000001815511903
17,1.0000018672714102
18,1.0000016007509138
19,1.000001640772751
20,1.000001661335818
21,1.0000014997796927
22,1.0000014613652828
23,1.0000014923765592
24,1.000001501133637
25,1.0000014694685688
26,1.00000148225905
27,1.0000014976193217
28,1.0000014801113635
29,1.0000014445240362
30,1.0000014128863275
31,1.0000011022189566
32,1.0000010698966382
33,1.000001043940634
34,1.0000010454349666
35,1.0000010359790839
36,1.0000010421411647
37,1.000001028097203
38,1.0000010494777367
39,1.000001049112697
40,1.0000010059800761
41,1.0000010303966842
42,1.000001039610179
43,1.000001043022378
44,1.000001032756305
45,1.000001040865272
46,1.000001055460665
47,1.0000010617747868
48,1.0000010348543025
49,1.0000010635458887
50,1.000001052313407
