Country,Oil_Reserves,Coal_Reserves,Gas Reserves,gdp_influx,Solar_power,Wind power,energy_demand,gov_expenditure,Percentage_GDP_expenditure,pred_dirty,pred_clean
Belgium,0.0,0.0,0.0,0.0017319105253844845,0.025367520582852437,0.0004117649038281918,0.7415950556521498,2.2937454007098952e-05,0.60796,0.0,0.022239805811682972
Bulgaria,2.1587563836225225,375.3451973786941,0.028783418448300305,0.0,0.05569591469746109,0.00039876547918275243,0.2358320746015611,3.046709442046085e-06,0.38776000000000005,0.49972333430768284,0.048736040055792
Denmark,95.12789781848078,0.0,0.20890155419303402,0.00243299705666914,0.04782291777807473,0.0011245809452087479,0.30249697792484376,5.7990688912013745e-05,0.55076,0.1261930915461879,0.04248926689284567
Germany,1.5812099172894014,475.05773218452765,0.024443824808338573,0.0017987158875427624,0.0035567674769945773,5.537337930459275e-05,0.4731162138948776,1.0199831360904616e-06,0.5109400000000001,0.6309381759484121,0.002865297821388235
Estonia,0.0,0.0,0.0,0.0005903030266576076,0.20504547561881142,0.0031477495882129007,0.045309215904099455,7.255812534116261e-05,0.4473,0.0,0.18167307480425887
Ireland,0.0,3.125356181900147,0.0708819701785375,0.0030336043790397216,0.05123753844334282,0.0018088471229818386,0.311061351776096,4.245765090531028e-05,0.2871,0.00423071863522506,0.046071772317697435
Greece,0.9594117040936371,304.15687762914786,0.00335794096432773,0.0005431695017695532,0.04269382083216685,0.00042836773176076795,0.2358441044241898,9.787620545217812e-06,0.58187,0.4038733399314298,0.03739783449998349
Spain,3.20822825851082,27.98520335183711,0.001924936955106492,0.0009849723433196093,0.009795790282653037,8.985819588321006e-05,0.28222076016238734,1.4850914955081231e-06,0.52259,0.041291909425251114,0.008348463361239527
France,1.201574709226228,0.0,0.004810527198391396,0.0015594491550304955,0.005331412309045242,7.371290323267582e-05,0.4270850624101107,2.2064878900590914e-06,0.62403,0.0015968386140697004,0.004432400409954056
Croatia,17.294855608660775,0.0,0.21435877374114765,0.00024666216005746346,0.09110247883998775,0.0013159679991581546,0.12629757375127615,1.7398063737392617e-05,0.5496,0.023176170251144303,0.08048370621554211
Italy,9.580127467536293,0.3099355616550516,0.032830632670604425,0.001175429254033577,0.006731520149589925,6.500465268779676e-05,0.23812385965181707,1.358675664484963e-06,0.5725399999999999,0.01313449409371874,0.005648510239327245
Cyprus,0.0,0.0,0.0,0.0005175813224631724,0.4315203680098463,0.001560099357357671,0.1752991979493849,7.839380765688792e-05,0.47363,0.0,0.378228821735061
Latvia,0.0,0.0,0.0,0.00036562993783452913,0.14685626853596495,0.0020039253567228892,0.18517404202030638,3.658917413842682e-05,0.42508,0.0,0.1298148716637203
Lithuania,4.4080551330149005,0.0,0.0,0.00041966586176476697,0.10358929562585016,0.0014713720696075986,0.0,2.6297642429517325e-05,0.42024,0.005834747008515939,0.09153324881923784
Luxembourg,0.0,0.0,0.0,0.004786468615802264,0.4824450699545351,0.0059206553584950266,1.0,0.0008740808020211309,0.47537,0.0,0.42654919360419524
Hungary,2.9605549529204476,331.9361573922107,0.03146883586321035,0.0003040506778081906,0.03643759942055936,0.00030741119033873615,0.22083385795071706,6.322935167304063e-06,0.50873,0.4433295737562377,0.03182405911002359
Malta,0.0,0.0,0.0,0.001005186511943147,1.1346573266929834,0.0098162579861984,0.9917698158882502,0.0003238132468441512,0.45925,0.0,1.0
Netherlands,8.222530054499385,31.9726969655799,1.850145130935323,0.002001646419382962,0.016691108051463704,0.0003375922504702691,0.7339611569277927,1.2668807492766513e-05,0.46899,0.055653593700013874,0.014591627148687019
Austria,5.040860952402947,0.0,0.0334206860500724,0.0019259665441704486,0.03564132964143934,0.0006444862863044694,0.4684316219336361,3.132343620919674e-05,0.5789500000000001,0.0067166014754632235,0.03142271418237422
Poland,3.6397446524340054,751.7640987722784,0.07966367186747579,0.00027974437260964383,0.00787388862902414,0.00010718264840146454,0.24876718538916406,0.0,0.48945,1.0,0.006683826493644174
Portugal,0.0,3.891761547769972,0.0,0.0006468040931029109,0.04481838208778931,0.0003253598783685991,0.21134448324797198,9.057569173813485e-06,0.48123,0.0051513520959928175,0.03916471080261012
Romania,31.188774162138273,16.67415335863332,0.19363030625660846,0.00012739856517859002,0.018557320626472272,0.00015034548584858754,0.07556359645235114,4.175765568463186e-07,0.3881,0.06361033348261395,0.01605907534966953
Slovenia,0.0,196.71438494077265,0.0,0.0007538898839573603,0.1659501149144419,0.00189346676043249,0.34150579052569124,6.39344507167512e-05,0.53232,0.26038210376924215,0.14640671533152189
Slovakia,1.6484597341730465,27.256704743644363,0.09158109634294703,0.0004611788617184715,0.05952771262291557,0.0005964859967008826,0.32672749973667053,1.54892415142147e-05,0.49552999999999997,0.03838170562531347,0.052257916173450075
Sweden,0.0,0.10914754687593602,0.0,0.0022619161661235876,0.026635601699727653,0.00042305058833489367,0.6912875038052796,2.916580752411427e-05,0.53062,0.00014447376527835007,0.02335799684301316
Finland,0.0,0.0,0.0,0.0018528504171736028,0.0,0.00059041063255317,0.6993447141595499,4.938559921076709e-05,0.5672200000000001,0.0,0.00022424786476716305
Czech Republic,1.4096374468872104,37.70389230971351,0.013156616170947297,1.0,0.0,0.0003338397377548084,0.45938230672619645,1.0,0.0047859999999999995,0.051790258827939924,0.0
