,pred_clean,pred_dirty,energy_demand,gdp_influx,gov_expenditure,name
0,0.022020495996124,0.0,0.7415950556521498,0.36183471874581546,0.02624180047662932,Belgium
1,0.0485226732969044,0.4997233343076828,0.2358320746015611,0.0,0.003485615328698713,Bulgaria
2,0.042274498994212,0.1261930915461879,0.30249697792484376,0.5083073246603422,0.06634476901668489,Denmark
3,0.0026416423392751,0.6309381759484121,0.4731162138948776,0.37579184821235445,0.0011669208770310171,Germany
4,0.1814895255780801,0.0,0.045309215904099455,0.12332746206853933,0.08301077563239188,Estonia
5,0.0458578079684501,0.004230718635225,0.311061351776096,0.6337875838200303,0.048574057234900526,Ireland
6,0.0371819246024163,0.4038733399314298,0.23584410442418974,0.1134802179578299,0.011197615280623154,Greece
7,0.0081260377430852,0.0412919094252511,0.28222076016238734,0.20578268079890405,0.0016990322771924208,Spain
8,0.004209096426073,0.0015968386140697,0.4270850624101107,0.32580369374658796,0.0025243523081127845,France
9,0.0802774603998585,0.0231761702511443,0.12629757375127615,0.05153322414840909,0.019904411236539177,Croatia
10,0.0054254790266471,0.0131344940937187,0.23812385965181707,0.24557337535922868,0.0015544051091653337,Italy
11,0.3780893596018757,0.0,0.17529919794938495,0.10813427685588621,0.08968714045155682,Cyprus
12,0.1296196907378329,0.0,0.18517404202030632,0.07638824510985447,0.0418601736290492,Latvia
13,0.0913294813956639,0.0058347470085159,0.0,0.08767755425769704,0.030086054251168448,Lithuania
14,0.426420569641663,0.0,1.0,1.0,1.0,Luxembourg
15,0.0316068990248746,0.4433295737562377,0.22083385795071706,0.06352296488571636,0.007233810824678513,Hungary
16,1.0,0.0,0.9917698158882502,0.21000587126479406,0.37046145630404353,Malta
17,0.0143706018607025,0.0556535937000138,0.7339611569277927,0.41818856030406976,0.014493863111353596,Netherlands
18,0.0312054640762952,0.0067166014754632,0.4684316219336361,0.4023773472183596,0.0358358588093465,Austria
19,0.0064610275004982,1.0,0.24876718538916406,0.058444835862097394,0.0,Poland
20,0.0389491972121521,0.0051513520959928,0.21134448324797198,0.13513179444392942,0.010362393445617263,Portugal
21,0.015838379207621,0.0636103334826139,0.07556359645235114,0.02661640039965804,0.00047773221409366714,Romania
22,0.1462152559256924,0.2603821037692421,0.34150579052569124,0.15750440344859554,0.07314478314694314,Slovenia
23,0.0520453393649065,0.0383817056253134,0.32672749973667053,0.09635054540959796,0.017720606010791735,Slovakia
24,0.0,0.0,0.6993447141595499,0.3871017582892989,0.056500038779679636,Finland
