,Oil_Reserves,Coal_Reserves,Gas Reserves,gdp_influx,Solar_power,Wind power,energy_demand,gov_expenditure,pred_dirty,pred_clean,Country
0,0.0,0.0,0.0,0.0017319105253844845,0.022356988304819157,0.03651221573419678,0.7415950556521498,2.2937413429663134e-06,0.0,0.0222398058116829,Belgium
1,0.022693199714575576,0.49928587703466837,0.01555738410302392,0.0,0.04908611030591023,0.03518042817918164,0.2358320746015611,3.046704052273672e-07,0.4997233343076828,0.048736040055792,Bulgaria
2,1.0,0.0,0.1129109012585547,0.00243299705666914,0.042147454260447983,0.10954002725828345,0.3024969779248437,5.7990586323755405e-06,0.1261930915461879,0.0424892668928456,Denmark
3,0.016621936924398378,0.6319239412474663,0.013211841816961225,0.0017987158875427624,0.003134662239709746,0.0,0.4731162138948776,1.0199813316922829e-07,0.6309381759484121,0.0028652978213882,Germany
4,0.0,0.0,0.0,0.0005903030266576076,0.18071136615001368,0.3168131100253207,0.0453092159040994,7.255799698242353e-06,0.0,0.1816730748042588,Estonia
5,0.0,0.004157362910791073,0.03831157296438891,0.0030336043790397216,0.04515683919538705,0.17964291294241747,0.311061351776096,4.245757579572732e-06,0.004230718635225,0.0460717723176974,Ireland
6,0.010085492543148047,0.40459085253721583,0.0018149608418179203,0.0005431695017695532,0.037627061340713426,0.03821317098582161,0.2358441044241898,9.787603230456358e-07,0.4038733399314298,0.0373978344999834,Greece
7,0.03372541948348982,0.03722604391130187,0.0010404248417708003,0.0009849723433196093,0.008633258740066775,0.003532960173943841,0.2822207601623873,1.4850888683113634e-07,0.0412919094252511,0.0083484633612395,Spain
8,0.012631149607857672,0.0,0.0026000809979481905,0.0015594491550304955,0.004698698173997495,0.0018788792887819233,0.4270850624101107,2.206483986678153e-07,0.0015968386140697,0.004432400409954,France
9,0.18180634708928523,0.0,0.11586051826798073,0.00024666216005746346,0.08029074214460019,0.12914757940721772,0.1262975737512761,1.7398032959398926e-06,0.0231761702511443,0.0804837062155421,Croatia
10,0.10070786475085053,0.00041227768413151653,0.017744895857984496,0.001175429254033577,0.00593264591099875,0.0009867213650289171,0.238123859651817,1.358673260923759e-07,0.0131344940937187,0.0056485102393272,Italy
11,0.0,0.0,0.0,0.0005175813224631724,0.3803089777488455,0.15415877132593764,0.1752991979493849,7.839366897455213e-06,0.0,0.378228821735061,Cyprus
12,0.0,0.0,0.0,0.00036562993783452913,0.12942785903827456,0.19962862546720464,0.1851740420203063,3.6589109410455496e-06,0.0,0.1298148716637203,Latvia
13,0.04633819556725803,0.0,0.0,0.00041966586176476697,0.09129566538627693,0.14506868458447214,0.0,2.629759590775002e-06,0.0058347470085159,0.0915332488192378,Lithuania
14,0.0,0.0,0.0,0.004786468615802264,0.4251901068322062,0.6008965596261573,1.0,8.740792557310487e-05,0.0,0.4265491936041952,Luxembourg
15,0.03112183724031892,0.44154297596054737,0.01700884721800259,0.0003040506778081906,0.03211330730728945,0.02582120588292795,0.220833857950717,6.322923981734128e-07,0.4433295737562377,0.0318240591100235,Hungary
16,0.0,0.0,0.0,0.001005186511943147,1.0,1.0,0.9917698158882502,3.238126740032754e-05,0.0,1.0,Malta
17,0.08643657899588285,0.04253022592831338,1.0,0.002001646419382962,0.014710263318098677,0.028913247367588466,0.7339611569277927,1.266878508104973e-06,0.0556535937000138,0.014591627148687,Netherlands
18,0.052990353702777236,0.0,0.018063818611449633,0.0019259665441704486,0.03141153615542921,0.06035445871204492,0.4684316219336361,3.132338079656367e-06,0.0067166014754632,0.0314227141823742,Austria
19,0.03826159030003185,1.0,0.04305806638379903,0.00027974437260964383,0.006939441929990396,0.005307845670075433,0.248767185389164,0.0,1.0,0.0066838264936441,Poland
20,0.0,0.005176838790420676,0.0,0.0006468040931029109,0.039499486790795915,0.027660044139157652,0.2113444832479719,9.057553150547272e-07,0.0051513520959928,0.0391647108026101,Portugal
21,0.3278614883475239,0.022180034116904793,0.10465682016995093,0.00012739856517859002,0.016355000042663503,0.009729866745564373,0.0755635964523511,4.17575818133734e-08,0.0636103334826139,0.0160590753496695,Romania
22,0.0,0.2616703634318678,0.0,0.0007538898839573603,0.1462557117558232,0.1883121720166243,0.3415057905256912,6.393433761369844e-06,0.2603821037692421,0.1464067153315218,Slovenia
23,0.017328877984022845,0.03625699177196391,0.04949941213349521,0.0004611788617184715,0.052463163302714534,0.05543684196553622,0.3267274997366705,1.5489214113017374e-06,0.0383817056253134,0.05225791617345,Slovakia
24,0.0,0.00014518855988758593,0.0,0.0022619161661235876,0.023474577806991668,0.03766843107340172,0.6912875038052796,2.9165755928427907e-06,0.0001444737652783,0.0233579968430131,Sweden
25,0.0,0.0,0.0,0.0018528504171736028,0.0,0.05481442254430783,0.6993447141595499,4.938551184531747e-06,0.0,0.0002242478647671,Finland
26,0.0148183390909891,0.0501538878636111,0.007111126554864375,1.0,0.0,0.028528803450205233,0.4593823067261964,1.0,0.0517902588279399,0.0,Czech Republic
