,output_welfare
0,0.01303596666046447
1,0.013029156504492575
2,0.013115102184489103
3,0.012992274923045211
4,0.01290781599923732
5,0.011567832347092823
6,0.012927982363882247
7,0.013032536308226162
8,0.012934196080496028
9,0.011639070993901116
10,0.01147598758195186
11,0.011475894421766454
12,0.011542082241524454
13,0.011416330490526864
14,0.011471507976306364
15,0.01457751316496547
16,0.01147437882841645
17,0.011388874963535231
18,0.011453904514111091
19,0.014133190336660198
20,0.011566719028058394
21,0.011565441206180808
22,0.011572749563675402
23,0.011659104209244198
24,0.011571677923115323
25,0.01127314155663609
26,0.011773131195804311
27,0.011650964961021058
28,0.011581749906503768
29,0.01129898386781041
30,0.042671989316943555
31,0.04187876927637335
32,0.050843864665081694
33,0.04464969413613744
34,0.04332512173037152
35,0.012272363624152375
36,0.042206246729876995
37,0.04316112348438023
38,0.042815875437580905
39,0.01241403992631264
